分类,名称,字段,数值,类型
敌人,万录朵,healRadius,0.00,float
敌人,万录朵,healPercentOfMax,0.00,float
敌人,万录朵,healInterval,0.00,float
敌人,哥布林,lives,70,int
敌人,哥布林,defense,0,int
敌人,哥布林,damage,14,int
敌人,哥布林,damageforplayer,1,int
敌人,哥布林,speed,4.00,float
敌人,哥布林,attackInterval,0.90,float
敌人,哥布林,attackRange,4.00,float
敌人,哥布林,dpOnKill,1,int
敌人,哥布林,penetrateDefense,false,bool
敌人,哥布林,rangedAttack,false,bool
敌人,哥布林,healRadius,0.00,float
敌人,哥布林,healPercentOfMax,0.00,float
敌人,哥布林,healInterval,0.00,float
敌人,奶妈怪,lives,45,int
敌人,奶妈怪,defense,0,int
敌人,奶妈怪,damage,6,int
敌人,奶妈怪,damageforplayer,1,int
敌人,奶妈怪,speed,4.00,float
敌人,奶妈怪,attackInterval,1.00,float
敌人,奶妈怪,attackRange,4.00,float
敌人,奶妈怪,dpOnKill,2,int
敌人,奶妈怪,penetrateDefense,false,bool
敌人,奶妈怪,rangedAttack,false,bool
敌人,奶妈怪,healRadius,3.50,float
敌人,奶妈怪,healPercentOfMax,0.04,float
敌人,奶妈怪,healInterval,1.50,float
敌人,小骷髅,lives,310,int
敌人,小骷髅,defense,0,int
敌人,小骷髅,damage,3,int
敌人,小骷髅,damageforplayer,1,int
敌人,小骷髅,speed,1.00,float
敌人,小骷髅,attackInterval,0.80,float
敌人,小骷髅,attackRange,4.00,float
敌人,小骷髅,dpOnKill,1,int
敌人,小骷髅,penetrateDefense,false,bool
敌人,小骷髅,rangedAttack,false,bool
敌人,小骷髅,healRadius,0.00,float
敌人,小骷髅,healPercentOfMax,0.00,float
敌人,小骷髅,healInterval,0.00,float
敌人,术师怪,lives,60,int
敌人,术师怪,defense,0,int
敌人,术师怪,damage,18,int
敌人,术师怪,damageforplayer,1,int
敌人,术师怪,speed,3.50,float
敌人,术师怪,attackInterval,1.00,float
敌人,术师怪,attackRange,4.00,float
敌人,术师怪,dpOnKill,2,int
敌人,术师怪,penetrateDefense,true,bool
敌人,术师怪,rangedAttack,false,bool
敌人,术师怪,healRadius,0.00,float
敌人,术师怪,healPercentOfMax,0.04,float
敌人,术师怪,healInterval,1.50,float
敌人,杂兵潮,lives,35,int
敌人,杂兵潮,defense,0,int
敌人,杂兵潮,damage,8,int
敌人,杂兵潮,damageforplayer,1,int
敌人,杂兵潮,speed,5.00,float
敌人,杂兵潮,attackInterval,0.80,float
敌人,杂兵潮,attackRange,4.00,float
敌人,杂兵潮,dpOnKill,1,int
敌人,杂兵潮,penetrateDefense,false,bool
敌人,杂兵潮,rangedAttack,false,bool
敌人,杂兵潮,healRadius,0.00,float
敌人,杂兵潮,healPercentOfMax,0.04,float
敌人,杂兵潮,healInterval,1.50,float
敌人,火之魔王,lives,2100,int
敌人,火之魔王,defense,4000,int
敌人,火之魔王,damage,1600,int
敌人,火之魔王,damageforplayer,3,int
敌人,火之魔王,speed,1.00,float
敌人,火之魔王,attackInterval,2.00,float
敌人,火之魔王,attackRange,6.00,float
敌人,火之魔王,dpOnKill,55,int
敌人,火之魔王,penetrateDefense,false,bool
敌人,火之魔王,rangedAttack,false,bool
敌人,火之魔王,healRadius,0.00,float
敌人,火之魔王,healPercentOfMax,0.00,float
敌人,火之魔王,healInterval,0.00,float
敌人,疾跑者,lives,30,int
敌人,疾跑者,defense,0,int
敌人,疾跑者,damage,10,int
敌人,疾跑者,damageforplayer,1,int
敌人,疾跑者,speed,9.00,float
敌人,疾跑者,attackInterval,0.70,float
敌人,疾跑者,attackRange,4.00,float
敌人,疾跑者,dpOnKill,1,int
敌人,疾跑者,penetrateDefense,false,bool
敌人,疾跑者,rangedAttack,false,bool
敌人,疾跑者,healRadius,0.00,float
敌人,疾跑者,healPercentOfMax,0.04,float
敌人,疾跑者,healInterval,1.50,float
敌人,石头怪,lives,3000,int
敌人,石头怪,defense,2000,int
敌人,石头怪,damage,30,int
敌人,石头怪,damageforplayer,2,int
敌人,石头怪,speed,0.50,float
敌人,石头怪,attackInterval,1.00,float
敌人,石头怪,attackRange,4.00,float
敌人,石头怪,dpOnKill,6,int
敌人,石头怪,penetrateDefense,false,bool
敌人,石头怪,rangedAttack,false,bool
敌人,石头怪,healRadius,0.00,float
敌人,石头怪,healPercentOfMax,0.00,float
敌人,石头怪,healInterval,0.00,float
敌人,蜜蜂,lives,2,int
敌人,蜜蜂,defense,0,int
敌人,蜜蜂,damage,8,int
敌人,蜜蜂,damageforplayer,1,int
敌人,蜜蜂,speed,2.50,float
敌人,蜜蜂,attackInterval,0.20,float
敌人,蜜蜂,attackRange,4.00,float
敌人,蜜蜂,dpOnKill,1,int
敌人,蜜蜂,penetrateDefense,false,bool
敌人,蜜蜂,rangedAttack,false,bool
敌人,蜜蜂,healRadius,0.00,float
敌人,蜜蜂,healPercentOfMax,0.00,float
敌人,蜜蜂,healInterval,0.00,float
敌人,远程怪,lives,80,int
敌人,远程怪,defense,0,int
敌人,远程怪,damage,22,int
敌人,远程怪,damageforplayer,1,int
敌人,远程怪,speed,3.00,float
敌人,远程怪,attackInterval,1.50,float
敌人,远程怪,attackRange,6.00,float
敌人,远程怪,dpOnKill,2,int
敌人,远程怪,penetrateDefense,false,bool
敌人,远程怪,rangedAttack,true,bool
敌人,远程怪,healRadius,0.00,float
敌人,远程怪,healPercentOfMax,0.04,float
敌人,远程怪,healInterval,1.50,float
敌人,重甲兵,lives,120,int
敌人,重甲兵,defense,6000,int
敌人,重甲兵,damage,16,int
敌人,重甲兵,damageforplayer,1,int
敌人,重甲兵,speed,2.20,float
敌人,重甲兵,attackInterval,1.20,float
敌人,重甲兵,attackRange,4.00,float
敌人,重甲兵,dpOnKill,3,int
敌人,重甲兵,penetrateDefense,false,bool
敌人,重甲兵,rangedAttack,false,bool
敌人,重甲兵,healRadius,0.00,float
敌人,重甲兵,healPercentOfMax,0.04,float
敌人,重甲兵,healInterval,1.50,float
敌人,重锤兵,lives,200,int
敌人,重锤兵,defense,0,int
敌人,重锤兵,damage,40,int
敌人,重锤兵,damageforplayer,1,int
敌人,重锤兵,speed,2.50,float
敌人,重锤兵,attackInterval,2.00,float
敌人,重锤兵,attackRange,4.00,float
敌人,重锤兵,dpOnKill,4,int
敌人,重锤兵,penetrateDefense,false,bool
敌人,重锤兵,rangedAttack,false,bool
敌人,重锤兵,healRadius,0.00,float
敌人,重锤兵,healPercentOfMax,0.04,float
敌人,重锤兵,healInterval,1.50,float
敌人,骷髅,lives,2600,int
敌人,骷髅,defense,1000,int
敌人,骷髅,damage,30,int
敌人,骷髅,damageforplayer,2,int
敌人,骷髅,speed,1.00,float
敌人,骷髅,attackInterval,0.90,float
敌人,骷髅,attackRange,4.00,float
敌人,骷髅,dpOnKill,6,int
敌人,骷髅,penetrateDefense,false,bool
敌人,骷髅,rangedAttack,false,bool
敌人,骷髅,healRadius,0.00,float
敌人,骷髅,healPercentOfMax,0.00,float
敌人,骷髅,healInterval,0.00,float
敌人,黑之魔王,lives,20000,int
敌人,黑之魔王,defense,5000,int
敌人,黑之魔王,damage,200,int
敌人,黑之魔王,damageforplayer,3,int
敌人,黑之魔王,speed,3.00,float
敌人,黑之魔王,attackInterval,1.00,float
敌人,黑之魔王,attackRange,4.00,float
敌人,黑之魔王,dpOnKill,60,int
敌人,黑之魔王,penetrateDefense,false,bool
敌人,黑之魔王,rangedAttack,false,bool
敌人,黑之魔王,healRadius,0.00,float
敌人,黑之魔王,healPercentOfMax,0.00,float
敌人,黑之魔王,healInterval,0.00,float
敌人,黑之魔王分身,lives,700,int
敌人,黑之魔王分身,defense,1000,int
敌人,黑之魔王分身,damage,13,int
敌人,黑之魔王分身,damageforplayer,1,int
敌人,黑之魔王分身,speed,1.50,float
敌人,黑之魔王分身,attackInterval,1.00,float
敌人,黑之魔王分身,attackRange,4.00,float
敌人,黑之魔王分身,dpOnKill,3,int
敌人,黑之魔王分身,penetrateDefense,false,bool
敌人,黑之魔王分身,rangedAttack,false,bool
敌人,黑之魔王分身,healRadius,0.00,float
敌人,黑之魔王分身,healPercentOfMax,0.00,float
敌人,黑之魔王分身,healInterval,0.00,float
天赋卡,atk_berserk,cardId,atk_berserk,string
天赋卡,atk_berserk,displayName,狂战之怒,string
天赋卡,atk_berserk,description,低血时攻击力+50%，攻击速度+20%,string
天赋卡,atk_berserk,cardType,Attack,TalentCardType
天赋卡,atk_berserk,rarity,Common,TalentCardRarity
天赋卡,atk_berserk,slotDiscount,0.00,float
天赋卡,atk_berserk,effectType,LowHpAttackBonus,TalentEffectType
天赋卡,atk_berserk,effectValue,50,int
天赋卡,atk_berserk,effectValue2,0,int
天赋卡,atk_berserk,secondaryEffectType,AttackSpeedPercent,TalentEffectType
天赋卡,atk_berserk,secondaryEffectValue,20,int
天赋卡,atk_berserk,secondaryEffectValue2,0,int
天赋卡,atk_berserk,effectTarget,Global,CardEffectTarget
天赋卡,atk_berserk,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_berserk,targetOperatorDataId,-1,int
天赋卡,atk_berserk,purchaseCooldownPenalty,0,int
天赋卡,atk_berserk,cardScope,PerRun,CardScope
天赋卡,atk_berserk,isGuardianRewindCard,false,bool
天赋卡,atk_berserk,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_berserk,triggerValue,0,int
天赋卡,atk_berserk,isCurse,false,bool
天赋卡,atk_berserk,curseEffectType,None,TalentEffectType
天赋卡,atk_berserk,curseEffectValue,0,int
天赋卡,atk_berserk,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_berserk,curseSecondaryEffectValue,0,int
天赋卡,atk_berserk,curseRemovable,true,bool
天赋卡,atk_crit1,cardId,atk_crit1,string
天赋卡,atk_crit1,displayName,暴击强化1,string
天赋卡,atk_crit1,description,暴击率+10%,string
天赋卡,atk_crit1,cardType,Attack,TalentCardType
天赋卡,atk_crit1,rarity,Common,TalentCardRarity
天赋卡,atk_crit1,slotDiscount,0.00,float
天赋卡,atk_crit1,effectType,CritChanceBonus,TalentEffectType
天赋卡,atk_crit1,effectValue,10,int
天赋卡,atk_crit1,effectValue2,0,int
天赋卡,atk_crit1,secondaryEffectType,None,TalentEffectType
天赋卡,atk_crit1,secondaryEffectValue,0,int
天赋卡,atk_crit1,secondaryEffectValue2,0,int
天赋卡,atk_crit1,effectTarget,Global,CardEffectTarget
天赋卡,atk_crit1,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_crit1,targetOperatorDataId,-1,int
天赋卡,atk_crit1,purchaseCooldownPenalty,0,int
天赋卡,atk_crit1,cardScope,PerRun,CardScope
天赋卡,atk_crit1,isGuardianRewindCard,false,bool
天赋卡,atk_crit1,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_crit1,triggerValue,0,int
天赋卡,atk_crit1,isCurse,false,bool
天赋卡,atk_crit1,curseEffectType,None,TalentEffectType
天赋卡,atk_crit1,curseEffectValue,0,int
天赋卡,atk_crit1,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_crit1,curseSecondaryEffectValue,0,int
天赋卡,atk_crit1,curseRemovable,true,bool
天赋卡,atk_crit2,cardId,atk_crit2,string
天赋卡,atk_crit2,displayName,暴击强化2,string
天赋卡,atk_crit2,description,暴击率+20%，暴击伤害+20%,string
天赋卡,atk_crit2,cardType,Attack,TalentCardType
天赋卡,atk_crit2,rarity,Common,TalentCardRarity
天赋卡,atk_crit2,slotDiscount,0.00,float
天赋卡,atk_crit2,effectType,CritChanceBonus,TalentEffectType
天赋卡,atk_crit2,effectValue,20,int
天赋卡,atk_crit2,effectValue2,0,int
天赋卡,atk_crit2,secondaryEffectType,CritDamageBonus,TalentEffectType
天赋卡,atk_crit2,secondaryEffectValue,20,int
天赋卡,atk_crit2,secondaryEffectValue2,0,int
天赋卡,atk_crit2,effectTarget,Global,CardEffectTarget
天赋卡,atk_crit2,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_crit2,targetOperatorDataId,-1,int
天赋卡,atk_crit2,purchaseCooldownPenalty,0,int
天赋卡,atk_crit2,cardScope,PerRun,CardScope
天赋卡,atk_crit2,isGuardianRewindCard,false,bool
天赋卡,atk_crit2,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_crit2,triggerValue,0,int
天赋卡,atk_crit2,isCurse,false,bool
天赋卡,atk_crit2,curseEffectType,None,TalentEffectType
天赋卡,atk_crit2,curseEffectValue,0,int
天赋卡,atk_crit2,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_crit2,curseSecondaryEffectValue,0,int
天赋卡,atk_crit2,curseRemovable,true,bool
天赋卡,atk_crit3,cardId,atk_crit3,string
天赋卡,atk_crit3,displayName,暴击强化3,string
天赋卡,atk_crit3,description,暴击率+30%，暴击伤害+50%,string
天赋卡,atk_crit3,cardType,Attack,TalentCardType
天赋卡,atk_crit3,rarity,Common,TalentCardRarity
天赋卡,atk_crit3,slotDiscount,0.00,float
天赋卡,atk_crit3,effectType,CritChanceBonus,TalentEffectType
天赋卡,atk_crit3,effectValue,30,int
天赋卡,atk_crit3,effectValue2,0,int
天赋卡,atk_crit3,secondaryEffectType,CritDamageBonus,TalentEffectType
天赋卡,atk_crit3,secondaryEffectValue,50,int
天赋卡,atk_crit3,secondaryEffectValue2,0,int
天赋卡,atk_crit3,effectTarget,Global,CardEffectTarget
天赋卡,atk_crit3,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_crit3,targetOperatorDataId,-1,int
天赋卡,atk_crit3,purchaseCooldownPenalty,0,int
天赋卡,atk_crit3,cardScope,PerRun,CardScope
天赋卡,atk_crit3,isGuardianRewindCard,false,bool
天赋卡,atk_crit3,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_crit3,triggerValue,0,int
天赋卡,atk_crit3,isCurse,false,bool
天赋卡,atk_crit3,curseEffectType,None,TalentEffectType
天赋卡,atk_crit3,curseEffectValue,0,int
天赋卡,atk_crit3,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_crit3,curseSecondaryEffectValue,0,int
天赋卡,atk_crit3,curseRemovable,true,bool
天赋卡,atk_killbuff,cardId,atk_killbuff,string
天赋卡,atk_killbuff,displayName,杀戮律动,string
天赋卡,atk_killbuff,description,击杀后攻速+30%持续3秒，吸血8%,string
天赋卡,atk_killbuff,cardType,Attack,TalentCardType
天赋卡,atk_killbuff,rarity,Common,TalentCardRarity
天赋卡,atk_killbuff,slotDiscount,0.00,float
天赋卡,atk_killbuff,effectType,KillAttackSpeedBuff,TalentEffectType
天赋卡,atk_killbuff,effectValue,30,int
天赋卡,atk_killbuff,effectValue2,3,int
天赋卡,atk_killbuff,secondaryEffectType,LifeStealPercent,TalentEffectType
天赋卡,atk_killbuff,secondaryEffectValue,8,int
天赋卡,atk_killbuff,secondaryEffectValue2,0,int
天赋卡,atk_killbuff,effectTarget,Global,CardEffectTarget
天赋卡,atk_killbuff,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_killbuff,targetOperatorDataId,-1,int
天赋卡,atk_killbuff,purchaseCooldownPenalty,0,int
天赋卡,atk_killbuff,cardScope,PerRun,CardScope
天赋卡,atk_killbuff,isGuardianRewindCard,false,bool
天赋卡,atk_killbuff,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_killbuff,triggerValue,0,int
天赋卡,atk_killbuff,isCurse,false,bool
天赋卡,atk_killbuff,curseEffectType,None,TalentEffectType
天赋卡,atk_killbuff,curseEffectValue,0,int
天赋卡,atk_killbuff,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_killbuff,curseSecondaryEffectValue,0,int
天赋卡,atk_killbuff,curseRemovable,true,bool
天赋卡,atk_killstack,cardId,atk_killstack,string
天赋卡,atk_killstack,displayName,战意觉醒,string
天赋卡,atk_killstack,description,每击杀+1攻击力(上限20)，吸血5%,string
天赋卡,atk_killstack,cardType,Attack,TalentCardType
天赋卡,atk_killstack,rarity,Common,TalentCardRarity
天赋卡,atk_killstack,slotDiscount,0.00,float
天赋卡,atk_killstack,effectType,KillStackAttack,TalentEffectType
天赋卡,atk_killstack,effectValue,1,int
天赋卡,atk_killstack,effectValue2,20,int
天赋卡,atk_killstack,secondaryEffectType,LifeStealPercent,TalentEffectType
天赋卡,atk_killstack,secondaryEffectValue,5,int
天赋卡,atk_killstack,secondaryEffectValue2,0,int
天赋卡,atk_killstack,effectTarget,Global,CardEffectTarget
天赋卡,atk_killstack,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_killstack,targetOperatorDataId,-1,int
天赋卡,atk_killstack,purchaseCooldownPenalty,0,int
天赋卡,atk_killstack,cardScope,PerRun,CardScope
天赋卡,atk_killstack,isGuardianRewindCard,false,bool
天赋卡,atk_killstack,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_killstack,triggerValue,0,int
天赋卡,atk_killstack,isCurse,false,bool
天赋卡,atk_killstack,curseEffectType,None,TalentEffectType
天赋卡,atk_killstack,curseEffectValue,0,int
天赋卡,atk_killstack,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_killstack,curseSecondaryEffectValue,0,int
天赋卡,atk_killstack,curseRemovable,true,bool
天赋卡,atk_lifesteal1,cardId,atk_lifesteal1,string
天赋卡,atk_lifesteal1,displayName,吸血1,string
天赋卡,atk_lifesteal1,description,吸血8%,string
天赋卡,atk_lifesteal1,cardType,Attack,TalentCardType
天赋卡,atk_lifesteal1,rarity,Common,TalentCardRarity
天赋卡,atk_lifesteal1,slotDiscount,0.00,float
天赋卡,atk_lifesteal1,effectType,LifeStealPercent,TalentEffectType
天赋卡,atk_lifesteal1,effectValue,8,int
天赋卡,atk_lifesteal1,effectValue2,0,int
天赋卡,atk_lifesteal1,secondaryEffectType,None,TalentEffectType
天赋卡,atk_lifesteal1,secondaryEffectValue,0,int
天赋卡,atk_lifesteal1,secondaryEffectValue2,0,int
天赋卡,atk_lifesteal1,effectTarget,Global,CardEffectTarget
天赋卡,atk_lifesteal1,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_lifesteal1,targetOperatorDataId,-1,int
天赋卡,atk_lifesteal1,purchaseCooldownPenalty,0,int
天赋卡,atk_lifesteal1,cardScope,PerRun,CardScope
天赋卡,atk_lifesteal1,isGuardianRewindCard,false,bool
天赋卡,atk_lifesteal1,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_lifesteal1,triggerValue,0,int
天赋卡,atk_lifesteal1,isCurse,false,bool
天赋卡,atk_lifesteal1,curseEffectType,None,TalentEffectType
天赋卡,atk_lifesteal1,curseEffectValue,0,int
天赋卡,atk_lifesteal1,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_lifesteal1,curseSecondaryEffectValue,0,int
天赋卡,atk_lifesteal1,curseRemovable,true,bool
天赋卡,atk_lifesteal2,cardId,atk_lifesteal2,string
天赋卡,atk_lifesteal2,displayName,吸血2,string
天赋卡,atk_lifesteal2,description,吸血18%，最大生命+10%,string
天赋卡,atk_lifesteal2,cardType,Attack,TalentCardType
天赋卡,atk_lifesteal2,rarity,Common,TalentCardRarity
天赋卡,atk_lifesteal2,slotDiscount,0.00,float
天赋卡,atk_lifesteal2,effectType,LifeStealPercent,TalentEffectType
天赋卡,atk_lifesteal2,effectValue,18,int
天赋卡,atk_lifesteal2,effectValue2,0,int
天赋卡,atk_lifesteal2,secondaryEffectType,MaxHpPercent,TalentEffectType
天赋卡,atk_lifesteal2,secondaryEffectValue,10,int
天赋卡,atk_lifesteal2,secondaryEffectValue2,0,int
天赋卡,atk_lifesteal2,effectTarget,Global,CardEffectTarget
天赋卡,atk_lifesteal2,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_lifesteal2,targetOperatorDataId,-1,int
天赋卡,atk_lifesteal2,purchaseCooldownPenalty,0,int
天赋卡,atk_lifesteal2,cardScope,PerRun,CardScope
天赋卡,atk_lifesteal2,isGuardianRewindCard,false,bool
天赋卡,atk_lifesteal2,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_lifesteal2,triggerValue,0,int
天赋卡,atk_lifesteal2,isCurse,false,bool
天赋卡,atk_lifesteal2,curseEffectType,None,TalentEffectType
天赋卡,atk_lifesteal2,curseEffectValue,0,int
天赋卡,atk_lifesteal2,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_lifesteal2,curseSecondaryEffectValue,0,int
天赋卡,atk_lifesteal2,curseRemovable,true,bool
天赋卡,atk_pierce1,cardId,atk_pierce1,string
天赋卡,atk_pierce1,displayName,破甲1,string
天赋卡,atk_pierce1,description,无视防御15%,string
天赋卡,atk_pierce1,cardType,Attack,TalentCardType
天赋卡,atk_pierce1,rarity,Common,TalentCardRarity
天赋卡,atk_pierce1,slotDiscount,0.00,float
天赋卡,atk_pierce1,effectType,DefensePenetration,TalentEffectType
天赋卡,atk_pierce1,effectValue,15,int
天赋卡,atk_pierce1,effectValue2,0,int
天赋卡,atk_pierce1,secondaryEffectType,None,TalentEffectType
天赋卡,atk_pierce1,secondaryEffectValue,0,int
天赋卡,atk_pierce1,secondaryEffectValue2,0,int
天赋卡,atk_pierce1,effectTarget,Global,CardEffectTarget
天赋卡,atk_pierce1,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_pierce1,targetOperatorDataId,-1,int
天赋卡,atk_pierce1,purchaseCooldownPenalty,0,int
天赋卡,atk_pierce1,cardScope,PerRun,CardScope
天赋卡,atk_pierce1,isGuardianRewindCard,false,bool
天赋卡,atk_pierce1,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_pierce1,triggerValue,0,int
天赋卡,atk_pierce1,isCurse,false,bool
天赋卡,atk_pierce1,curseEffectType,None,TalentEffectType
天赋卡,atk_pierce1,curseEffectValue,0,int
天赋卡,atk_pierce1,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_pierce1,curseSecondaryEffectValue,0,int
天赋卡,atk_pierce1,curseRemovable,true,bool
天赋卡,atk_pierce2,cardId,atk_pierce2,string
天赋卡,atk_pierce2,displayName,破甲2,string
天赋卡,atk_pierce2,description,无视防御30%，攻击力+8%,string
天赋卡,atk_pierce2,cardType,Attack,TalentCardType
天赋卡,atk_pierce2,rarity,Common,TalentCardRarity
天赋卡,atk_pierce2,slotDiscount,0.00,float
天赋卡,atk_pierce2,effectType,DefensePenetration,TalentEffectType
天赋卡,atk_pierce2,effectValue,30,int
天赋卡,atk_pierce2,effectValue2,0,int
天赋卡,atk_pierce2,secondaryEffectType,AttackPercent,TalentEffectType
天赋卡,atk_pierce2,secondaryEffectValue,8,int
天赋卡,atk_pierce2,secondaryEffectValue2,0,int
天赋卡,atk_pierce2,effectTarget,Global,CardEffectTarget
天赋卡,atk_pierce2,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_pierce2,targetOperatorDataId,-1,int
天赋卡,atk_pierce2,purchaseCooldownPenalty,0,int
天赋卡,atk_pierce2,cardScope,PerRun,CardScope
天赋卡,atk_pierce2,isGuardianRewindCard,false,bool
天赋卡,atk_pierce2,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_pierce2,triggerValue,0,int
天赋卡,atk_pierce2,isCurse,false,bool
天赋卡,atk_pierce2,curseEffectType,None,TalentEffectType
天赋卡,atk_pierce2,curseEffectValue,0,int
天赋卡,atk_pierce2,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_pierce2,curseSecondaryEffectValue,0,int
天赋卡,atk_pierce2,curseRemovable,true,bool
天赋卡,atk_power1,cardId,atk_power1,string
天赋卡,atk_power1,displayName,攻击强化1,string
天赋卡,atk_power1,description,攻击力+10%,string
天赋卡,atk_power1,cardType,Attack,TalentCardType
天赋卡,atk_power1,rarity,Common,TalentCardRarity
天赋卡,atk_power1,slotDiscount,0.00,float
天赋卡,atk_power1,effectType,AttackPercent,TalentEffectType
天赋卡,atk_power1,effectValue,10,int
天赋卡,atk_power1,effectValue2,0,int
天赋卡,atk_power1,secondaryEffectType,None,TalentEffectType
天赋卡,atk_power1,secondaryEffectValue,0,int
天赋卡,atk_power1,secondaryEffectValue2,0,int
天赋卡,atk_power1,effectTarget,Global,CardEffectTarget
天赋卡,atk_power1,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_power1,targetOperatorDataId,-1,int
天赋卡,atk_power1,purchaseCooldownPenalty,0,int
天赋卡,atk_power1,cardScope,PerRun,CardScope
天赋卡,atk_power1,isGuardianRewindCard,false,bool
天赋卡,atk_power1,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_power1,triggerValue,0,int
天赋卡,atk_power1,isCurse,false,bool
天赋卡,atk_power1,curseEffectType,None,TalentEffectType
天赋卡,atk_power1,curseEffectValue,0,int
天赋卡,atk_power1,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_power1,curseSecondaryEffectValue,0,int
天赋卡,atk_power1,curseRemovable,true,bool
天赋卡,atk_power2,cardId,atk_power2,string
天赋卡,atk_power2,displayName,攻击强化2,string
天赋卡,atk_power2,description,攻击力+20%,string
天赋卡,atk_power2,cardType,Attack,TalentCardType
天赋卡,atk_power2,rarity,Common,TalentCardRarity
天赋卡,atk_power2,slotDiscount,0.00,float
天赋卡,atk_power2,effectType,AttackPercent,TalentEffectType
天赋卡,atk_power2,effectValue,20,int
天赋卡,atk_power2,effectValue2,0,int
天赋卡,atk_power2,secondaryEffectType,None,TalentEffectType
天赋卡,atk_power2,secondaryEffectValue,0,int
天赋卡,atk_power2,secondaryEffectValue2,0,int
天赋卡,atk_power2,effectTarget,Global,CardEffectTarget
天赋卡,atk_power2,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_power2,targetOperatorDataId,-1,int
天赋卡,atk_power2,purchaseCooldownPenalty,0,int
天赋卡,atk_power2,cardScope,PerRun,CardScope
天赋卡,atk_power2,isGuardianRewindCard,false,bool
天赋卡,atk_power2,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_power2,triggerValue,0,int
天赋卡,atk_power2,isCurse,false,bool
天赋卡,atk_power2,curseEffectType,None,TalentEffectType
天赋卡,atk_power2,curseEffectValue,0,int
天赋卡,atk_power2,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_power2,curseSecondaryEffectValue,0,int
天赋卡,atk_power2,curseRemovable,true,bool
天赋卡,atk_power3,cardId,atk_power3,string
天赋卡,atk_power3,displayName,攻击强化3,string
天赋卡,atk_power3,description,攻击力+35%，对精英怪伤害+15%,string
天赋卡,atk_power3,cardType,Attack,TalentCardType
天赋卡,atk_power3,rarity,Common,TalentCardRarity
天赋卡,atk_power3,slotDiscount,0.00,float
天赋卡,atk_power3,effectType,AttackPercent,TalentEffectType
天赋卡,atk_power3,effectValue,35,int
天赋卡,atk_power3,effectValue2,0,int
天赋卡,atk_power3,secondaryEffectType,EliteDamageBonus,TalentEffectType
天赋卡,atk_power3,secondaryEffectValue,15,int
天赋卡,atk_power3,secondaryEffectValue2,0,int
天赋卡,atk_power3,effectTarget,Global,CardEffectTarget
天赋卡,atk_power3,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_power3,targetOperatorDataId,-1,int
天赋卡,atk_power3,purchaseCooldownPenalty,0,int
天赋卡,atk_power3,cardScope,PerRun,CardScope
天赋卡,atk_power3,isGuardianRewindCard,false,bool
天赋卡,atk_power3,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_power3,triggerValue,0,int
天赋卡,atk_power3,isCurse,false,bool
天赋卡,atk_power3,curseEffectType,None,TalentEffectType
天赋卡,atk_power3,curseEffectValue,0,int
天赋卡,atk_power3,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_power3,curseSecondaryEffectValue,0,int
天赋卡,atk_power3,curseRemovable,true,bool
天赋卡,atk_speed1,cardId,atk_speed1,string
天赋卡,atk_speed1,displayName,攻速提升1,string
天赋卡,atk_speed1,description,攻击速度+12%,string
天赋卡,atk_speed1,cardType,Attack,TalentCardType
