分类,名称,字段,数值,类型
干员,醒,attackRange,3.50,float
干员,醒,opType,Vanguard,OperatorType
干员,醒,deployRadius,5.00,float
干员,醒,purchaseCooldown,600.00,float
干员,醒,canStandOnGroundAndHighGround,false,bool
干员,醒,isAoEAttacker,false,bool
干员,醒,isHealer,false,bool
干员,醒,baseCritChance,0,int
干员,醒,maxStarRating,1,int
干员,醒,starPassiveDesc,部署即返还部署费用，技力回复 +30%,string
干员,醒,selectQuote,……（它似乎并不想说话）,string
干员,醒,isInitialAvailable,true,bool
干员,醒,isDeprecated,true,bool
干员,醒,deprecatedNote,可能废弃（非正式干员）,string
干员,钩爪,operatorName,钩爪,string
干员,钩爪,cost,15,int
干员,钩爪,maxHealth,150.00,float
干员,钩爪,defense,1000,int
干员,钩爪,attackDamage,22.00,float
干员,钩爪,attackInterval,1.50,float
干员,钩爪,attackRange,2.50,float
干员,钩爪,opType,Specialist,OperatorType
干员,钩爪,deployRadius,5.00,float
干员,钩爪,purchaseCooldown,20.00,float
干员,钩爪,canStandOnGroundAndHighGround,false,bool
干员,钩爪,isAoEAttacker,false,bool
干员,钩爪,isHealer,false,bool
干员,钩爪,baseCritChance,0,int
干员,钩爪,maxStarRating,2,int
干员,钩爪,starPassiveDesc,再部署更划算（撤退返还 +50%）,string
干员,钩爪,selectQuote,上钩吧。,string
干员,钩爪,isInitialAvailable,true,bool
干员,钩爪,isDeprecated,true,bool
干员,钩爪,deprecatedNote,可能废弃（非正式干员）,string
干员,铁壁,operatorName,铁壁,string
干员,铁壁,cost,18,int
干员,铁壁,maxHealth,2500.00,float
干员,铁壁,defense,8000,int
干员,铁壁,attackDamage,12.00,float
干员,铁壁,attackInterval,1.50,float
干员,铁壁,attackRange,1.00,float
干员,铁壁,opType,Defender,OperatorType
干员,铁壁,deployRadius,6.00,float
干员,铁壁,purchaseCooldown,40.00,float
干员,铁壁,canStandOnGroundAndHighGround,false,bool
干员,铁壁,isAoEAttacker,false,bool
干员,铁壁,isHealer,false,bool
干员,铁壁,baseCritChance,0,int
干员,铁壁,maxStarRating,3,int
干员,铁壁,starPassiveDesc,防御 +40%，且致命伤时保留 1 点生命（每场 1 次）,string
干员,铁壁,selectQuote,想过去？先踏过我的身躯。,string
干员,铁壁,isInitialAvailable,true,bool
干员,铁壁,isDeprecated,true,bool
干员,铁壁,deprecatedNote,可能废弃（非正式干员）,string
干员,雪女,operatorName,雪女,string
干员,雪女,cost,40,int
干员,雪女,maxHealth,100.00,float
干员,雪女,defense,0,int
干员,雪女,attackDamage,120.00,float
干员,雪女,attackInterval,2.50,float
干员,雪女,attackRange,4.50,float
干员,雪女,opType,Caster,OperatorType
干员,雪女,deployRadius,8.00,float
干员,雪女,purchaseCooldown,40.00,float
干员,雪女,canStandOnGroundAndHighGround,false,bool
干员,雪女,isAoEAttacker,false,bool
干员,雪女,isHealer,false,bool
干员,雪女,baseCritChance,0,int
干员,雪女,maxStarRating,5,int
干员,雪女,starPassiveDesc,法术穿透：无视 50% 防御，攻击力 +20%,string
干员,雪女,selectQuote,,string
干员,雪女,isInitialAvailable,true,bool
干员,雪女,isDeprecated,false,bool
干员,雪女,deprecatedNote,,string
干员,鹰眼,operatorName,鹰眼,string
干员,鹰眼,cost,16,int
干员,鹰眼,maxHealth,25.00,float
干员,鹰眼,defense,0,int
干员,鹰眼,attackDamage,28.00,float
干员,鹰眼,attackInterval,0.70,float
干员,鹰眼,attackRange,6.00,float
干员,鹰眼,opType,Sniper,OperatorType
干员,鹰眼,deployRadius,8.00,float
干员,鹰眼,purchaseCooldown,18.00,float
干员,鹰眼,canStandOnGroundAndHighGround,false,bool
干员,鹰眼,isAoEAttacker,false,bool
干员,鹰眼,isHealer,false,bool
干员,鹰眼,baseCritChance,25,int
干员,鹰眼,maxStarRating,3,int
干员,鹰眼,starPassiveDesc,暴击率 +25%,string
干员,鹰眼,selectQuote,,string
干员,鹰眼,isInitialAvailable,true,bool
干员,鹰眼,isDeprecated,true,bool
干员,鹰眼,deprecatedNote,可能废弃（非正式干员）,string
敌人,big boss,lives,1700,int
敌人,big boss,defense,0,int
敌人,big boss,damage,20,int
敌人,big boss,damageforplayer,2,int
敌人,big boss,speed,2.00,float
敌人,big boss,attackInterval,0.90,float
敌人,big boss,attackRange,4.00,float
敌人,big boss,dpOnKill,4,int
敌人,big boss,penetrateDefense,false,bool
敌人,big boss,rangedAttack,false,bool
敌人,big boss,healRadius,0.00,float
敌人,big boss,healPercentOfMax,0.00,float
敌人,big boss,healInterval,0.00,float
敌人,Enemy_enemy,lives,400,int
敌人,Enemy_enemy,defense,0,int
敌人,Enemy_enemy,damage,4,int
敌人,Enemy_enemy,damageforplayer,1,int
敌人,Enemy_enemy,speed,2.00,float
敌人,Enemy_enemy,attackInterval,0.90,float
敌人,Enemy_enemy,attackRange,4.00,float
敌人,Enemy_enemy,dpOnKill,1,int
敌人,Enemy_enemy,penetrateDefense,false,bool
敌人,Enemy_enemy,rangedAttack,false,bool
敌人,Enemy_enemy,healRadius,0.00,float
敌人,Enemy_enemy,healPercentOfMax,0.00,float
敌人,Enemy_enemy,healInterval,0.00,float
敌人,small boss,lives,800,int
敌人,small boss,defense,0,int
敌人,small boss,damage,8,int
敌人,small boss,damageforplayer,1,int
敌人,small boss,speed,2.00,float
敌人,small boss,attackInterval,0.90,float
敌人,small boss,attackRange,4.00,float
敌人,small boss,dpOnKill,2,int
敌人,small boss,penetrateDefense,false,bool
敌人,small boss,rangedAttack,false,bool
敌人,small boss,healRadius,0.00,float
敌人,small boss,healPercentOfMax,0.00,float
敌人,small boss,healInterval,0.00,float
敌人,万录朵,lives,2500,int
敌人,万录朵,defense,0,int
敌人,万录朵,damage,18,int
敌人,万录朵,damageforplayer,2,int
敌人,万录朵,speed,1.00,float
敌人,万录朵,attackInterval,1.00,float
敌人,万录朵,attackRange,4.00,float
敌人,万录朵,dpOnKill,11,int
敌人,万录朵,penetrateDefense,false,bool
敌人,万录朵,rangedAttack,false,bool
敌人,万录朵,healRadius,0.00,float
敌人,万录朵,healPercentOfMax,0.00,float
敌人,万录朵,healInterval,0.00,float
敌人,哥布林,lives,70,int
敌人,哥布林,defense,0,int
敌人,哥布林,damage,14,int
敌人,哥布林,damageforplayer,1,int
敌人,哥布林,speed,4.00,float
敌人,哥布林,attackInterval,0.90,float
敌人,哥布林,attackRange,4.00,float
敌人,哥布林,dpOnKill,1,int
敌人,哥布林,penetrateDefense,false,bool
敌人,哥布林,rangedAttack,false,bool
敌人,哥布林,healRadius,0.00,float
敌人,哥布林,healPercentOfMax,0.00,float
敌人,哥布林,healInterval,0.00,float
敌人,奶妈怪,lives,45,int
敌人,奶妈怪,defense,0,int
敌人,奶妈怪,damage,6,int
敌人,奶妈怪,damageforplayer,1,int
敌人,奶妈怪,speed,4.00,float
敌人,奶妈怪,attackInterval,1.00,float
敌人,奶妈怪,attackRange,4.00,float
敌人,奶妈怪,dpOnKill,2,int
敌人,奶妈怪,penetrateDefense,false,bool
敌人,奶妈怪,rangedAttack,false,bool
敌人,奶妈怪,healRadius,3.50,float
敌人,奶妈怪,healPercentOfMax,0.04,float
敌人,奶妈怪,healInterval,1.50,float
敌人,小骷髅,lives,310,int
敌人,小骷髅,defense,0,int
敌人,小骷髅,damage,3,int
敌人,小骷髅,damageforplayer,1,int
敌人,小骷髅,speed,1.00,float
敌人,小骷髅,attackInterval,0.80,float
敌人,小骷髅,attackRange,4.00,float
敌人,小骷髅,dpOnKill,1,int
敌人,小骷髅,penetrateDefense,false,bool
敌人,小骷髅,rangedAttack,false,bool
敌人,小骷髅,healRadius,0.00,float
敌人,小骷髅,healPercentOfMax,0.00,float
敌人,小骷髅,healInterval,0.00,float
敌人,术师怪,lives,60,int
敌人,术师怪,defense,0,int
敌人,术师怪,damage,18,int
敌人,术师怪,damageforplayer,1,int
敌人,术师怪,speed,3.50,float
敌人,术师怪,attackInterval,1.00,float
敌人,术师怪,attackRange,4.00,float
敌人,术师怪,dpOnKill,2,int
敌人,术师怪,penetrateDefense,true,bool
敌人,术师怪,rangedAttack,false,bool
敌人,术师怪,healRadius,0.00,float
敌人,术师怪,healPercentOfMax,0.04,float
敌人,术师怪,healInterval,1.50,float
敌人,杂兵潮,lives,35,int
敌人,杂兵潮,defense,0,int
敌人,杂兵潮,damage,8,int
敌人,杂兵潮,damageforplayer,1,int
敌人,杂兵潮,speed,5.00,float
敌人,杂兵潮,attackInterval,0.80,float
敌人,杂兵潮,attackRange,4.00,float
敌人,杂兵潮,dpOnKill,1,int
敌人,杂兵潮,penetrateDefense,false,bool
敌人,杂兵潮,rangedAttack,false,bool
敌人,杂兵潮,healRadius,0.00,float
敌人,杂兵潮,healPercentOfMax,0.04,float
敌人,杂兵潮,healInterval,1.50,float
敌人,火之魔王,lives,2100,int
敌人,火之魔王,defense,4000,int
敌人,火之魔王,damage,1600,int
敌人,火之魔王,damageforplayer,3,int
敌人,火之魔王,speed,1.00,float
敌人,火之魔王,attackInterval,2.00,float
敌人,火之魔王,attackRange,6.00,float
敌人,火之魔王,dpOnKill,55,int
敌人,火之魔王,penetrateDefense,false,bool
敌人,火之魔王,rangedAttack,false,bool
敌人,火之魔王,healRadius,0.00,float
敌人,火之魔王,healPercentOfMax,0.00,float
敌人,火之魔王,healInterval,0.00,float
敌人,疾跑者,lives,30,int
敌人,疾跑者,defense,0,int
敌人,疾跑者,damage,10,int
敌人,疾跑者,damageforplayer,1,int
敌人,疾跑者,speed,9.00,float
敌人,疾跑者,attackInterval,0.70,float
敌人,疾跑者,attackRange,4.00,float
敌人,疾跑者,dpOnKill,1,int
敌人,疾跑者,penetrateDefense,false,bool
敌人,疾跑者,rangedAttack,false,bool
敌人,疾跑者,healRadius,0.00,float
敌人,疾跑者,healPercentOfMax,0.04,float
敌人,疾跑者,healInterval,1.50,float
敌人,石头怪,lives,3000,int
敌人,石头怪,defense,2000,int
敌人,石头怪,damage,30,int
敌人,石头怪,damageforplayer,2,int
敌人,石头怪,speed,0.50,float
敌人,石头怪,attackInterval,1.00,float
敌人,石头怪,attackRange,4.00,float
敌人,石头怪,dpOnKill,6,int
敌人,石头怪,penetrateDefense,false,bool
敌人,石头怪,rangedAttack,false,bool
敌人,石头怪,healRadius,0.00,float
敌人,石头怪,healPercentOfMax,0.00,float
敌人,石头怪,healInterval,0.00,float
敌人,蜜蜂,lives,2,int
敌人,蜜蜂,defense,0,int
敌人,蜜蜂,damage,8,int
敌人,蜜蜂,damageforplayer,1,int
敌人,蜜蜂,speed,2.50,float
敌人,蜜蜂,attackInterval,0.20,float
敌人,蜜蜂,attackRange,4.00,float
敌人,蜜蜂,dpOnKill,1,int
敌人,蜜蜂,penetrateDefense,false,bool
敌人,蜜蜂,rangedAttack,false,bool
敌人,蜜蜂,healRadius,0.00,float
敌人,蜜蜂,healPercentOfMax,0.00,float
敌人,蜜蜂,healInterval,0.00,float
敌人,远程怪,lives,80,int
敌人,远程怪,defense,0,int
敌人,远程怪,damage,22,int
敌人,远程怪,damageforplayer,1,int
敌人,远程怪,speed,3.00,float
敌人,远程怪,attackInterval,1.50,float
敌人,远程怪,attackRange,6.00,float
敌人,远程怪,dpOnKill,2,int
敌人,远程怪,penetrateDefense,false,bool
敌人,远程怪,rangedAttack,true,bool
敌人,远程怪,healRadius,0.00,float
敌人,远程怪,healPercentOfMax,0.04,float
敌人,远程怪,healInterval,1.50,float
敌人,重甲兵,lives,120,int
敌人,重甲兵,defense,6000,int
敌人,重甲兵,damage,16,int
敌人,重甲兵,damageforplayer,1,int
敌人,重甲兵,speed,2.20,float
敌人,重甲兵,attackInterval,1.20,float
敌人,重甲兵,attackRange,4.00,float
敌人,重甲兵,dpOnKill,3,int
敌人,重甲兵,penetrateDefense,false,bool
敌人,重甲兵,rangedAttack,false,bool
敌人,重甲兵,healRadius,0.00,float
敌人,重甲兵,healPercentOfMax,0.04,float
敌人,重甲兵,healInterval,1.50,float
敌人,重锤兵,lives,200,int
敌人,重锤兵,defense,0,int
敌人,重锤兵,damage,40,int
敌人,重锤兵,damageforplayer,1,int
敌人,重锤兵,speed,2.50,float
敌人,重锤兵,attackInterval,2.00,float
敌人,重锤兵,attackRange,4.00,float
敌人,重锤兵,dpOnKill,4,int
敌人,重锤兵,penetrateDefense,false,bool
敌人,重锤兵,rangedAttack,false,bool
敌人,重锤兵,healRadius,0.00,float
敌人,重锤兵,healPercentOfMax,0.04,float
敌人,重锤兵,healInterval,1.50,float
敌人,骷髅,lives,2600,int
敌人,骷髅,defense,1000,int
敌人,骷髅,damage,30,int
敌人,骷髅,damageforplayer,2,int
敌人,骷髅,speed,1.00,float
敌人,骷髅,attackInterval,0.90,float
敌人,骷髅,attackRange,4.00,float
敌人,骷髅,dpOnKill,6,int
敌人,骷髅,penetrateDefense,false,bool
敌人,骷髅,rangedAttack,false,bool
敌人,骷髅,healRadius,0.00,float
敌人,骷髅,healPercentOfMax,0.00,float
敌人,骷髅,healInterval,0.00,float
敌人,黑之魔王,lives,20000,int
敌人,黑之魔王,defense,5000,int
敌人,黑之魔王,damage,200,int
敌人,黑之魔王,damageforplayer,3,int
敌人,黑之魔王,speed,3.00,float
敌人,黑之魔王,attackInterval,1.00,float
敌人,黑之魔王,attackRange,4.00,float
敌人,黑之魔王,dpOnKill,60,int
敌人,黑之魔王,penetrateDefense,false,bool
敌人,黑之魔王,rangedAttack,false,bool
敌人,黑之魔王,healRadius,0.00,float
敌人,黑之魔王,healPercentOfMax,0.00,float
敌人,黑之魔王,healInterval,0.00,float
敌人,黑之魔王分身,lives,700,int
敌人,黑之魔王分身,defense,1000,int
敌人,黑之魔王分身,damage,13,int
敌人,黑之魔王分身,damageforplayer,1,int
敌人,黑之魔王分身,speed,1.50,float
敌人,黑之魔王分身,attackInterval,1.00,float
敌人,黑之魔王分身,attackRange,4.00,float
敌人,黑之魔王分身,dpOnKill,3,int
敌人,黑之魔王分身,penetrateDefense,false,bool
敌人,黑之魔王分身,rangedAttack,false,bool
敌人,黑之魔王分身,healRadius,0.00,float
敌人,黑之魔王分身,healPercentOfMax,0.00,float
敌人,黑之魔王分身,healInterval,0.00,float
天赋卡,atk_caster,cardId,atk_caster,string
天赋卡,atk_caster,displayName,术师精通,string
天赋卡,atk_caster,description,术师AoE范围+30%,string
天赋卡,atk_caster,cardType,Attack,TalentCardType
天赋卡,atk_caster,rarity,Common,TalentCardRarity
天赋卡,atk_caster,slotDiscount,0.00,float
天赋卡,atk_caster,effectType,AoeRangePercent,TalentEffectType
天赋卡,atk_caster,effectValue,30,int
天赋卡,atk_caster,effectValue2,0,int
天赋卡,atk_caster,secondaryEffectType,None,TalentEffectType
天赋卡,atk_caster,secondaryEffectValue,0,int
天赋卡,atk_caster,secondaryEffectValue2,0,int
天赋卡,atk_caster,effectTarget,ByClass,CardEffectTarget
天赋卡,atk_caster,targetOperatorType,Caster,OperatorType
天赋卡,atk_caster,targetOperatorDataId,-1,int
天赋卡,atk_caster,purchaseCooldownPenalty,15,int
天赋卡,atk_caster,cardScope,PerRun,CardScope
天赋卡,atk_caster,isGuardianRewindCard,false,bool
天赋卡,atk_caster,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_caster,triggerValue,0,int
天赋卡,atk_caster,cardTier,Star,CardTier
天赋卡,atk_caster,dreamCardOperatorKey,,string
天赋卡,atk_caster,isCurse,false,bool
天赋卡,atk_caster,curseEffectType,None,TalentEffectType
天赋卡,atk_caster,curseEffectValue,0,int
天赋卡,atk_caster,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_caster,curseSecondaryEffectValue,0,int
天赋卡,atk_caster,curseRemovable,true,bool
天赋卡,atk_crit,cardId,atk_crit,string
天赋卡,atk_crit,displayName,精准打击,string
天赋卡,atk_crit,description,暴击率+20%，暴击伤害+40%,string
天赋卡,atk_crit,cardType,Attack,TalentCardType
天赋卡,atk_crit,rarity,Common,TalentCardRarity
天赋卡,atk_crit,slotDiscount,0.00,float
天赋卡,atk_crit,effectType,CritChanceBonus,TalentEffectType
天赋卡,atk_crit,effectValue,20,int
天赋卡,atk_crit,effectValue2,0,int
天赋卡,atk_crit,secondaryEffectType,CritDamageBonus,TalentEffectType
天赋卡,atk_crit,secondaryEffectValue,40,int
天赋卡,atk_crit,secondaryEffectValue2,0,int
天赋卡,atk_crit,effectTarget,Global,CardEffectTarget
天赋卡,atk_crit,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_crit,targetOperatorDataId,-1,int
天赋卡,atk_crit,purchaseCooldownPenalty,0,int
天赋卡,atk_crit,cardScope,PerRun,CardScope
天赋卡,atk_crit,isGuardianRewindCard,false,bool
天赋卡,atk_crit,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_crit,triggerValue,0,int
天赋卡,atk_crit,cardTier,Star,CardTier
天赋卡,atk_crit,dreamCardOperatorKey,,string
天赋卡,atk_crit,isCurse,false,bool
天赋卡,atk_crit,curseEffectType,None,TalentEffectType
天赋卡,atk_crit,curseEffectValue,0,int
天赋卡,atk_crit,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_crit,curseSecondaryEffectValue,0,int
天赋卡,atk_crit,curseRemovable,true,bool
天赋卡,atk_guard,cardId,atk_guard,string
天赋卡,atk_guard,displayName,近卫荣耀,string
天赋卡,atk_guard,description,近卫攻击+25%，攻速+15%,string
天赋卡,atk_guard,cardType,Attack,TalentCardType
天赋卡,atk_guard,rarity,Common,TalentCardRarity
天赋卡,atk_guard,slotDiscount,0.00,float
天赋卡,atk_guard,effectType,AttackPercent,TalentEffectType
天赋卡,atk_guard,effectValue,25,int
天赋卡,atk_guard,effectValue2,0,int
天赋卡,atk_guard,secondaryEffectType,AttackSpeedPercent,TalentEffectType
天赋卡,atk_guard,secondaryEffectValue,15,int
天赋卡,atk_guard,secondaryEffectValue2,0,int
天赋卡,atk_guard,effectTarget,ByClass,CardEffectTarget
天赋卡,atk_guard,targetOperatorType,Guard,OperatorType
天赋卡,atk_guard,targetOperatorDataId,-1,int
天赋卡,atk_guard,purchaseCooldownPenalty,15,int
天赋卡,atk_guard,cardScope,PerRun,CardScope
天赋卡,atk_guard,isGuardianRewindCard,false,bool
天赋卡,atk_guard,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_guard,triggerValue,0,int
天赋卡,atk_guard,cardTier,Star,CardTier
天赋卡,atk_guard,dreamCardOperatorKey,,string
天赋卡,atk_guard,isCurse,false,bool
天赋卡,atk_guard,curseEffectType,None,TalentEffectType
天赋卡,atk_guard,curseEffectValue,0,int
天赋卡,atk_guard,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_guard,curseSecondaryEffectValue,0,int
天赋卡,atk_guard,curseRemovable,true,bool
天赋卡,atk_pierce,cardId,atk_pierce,string
天赋卡,atk_pierce,displayName,破甲穿击,string
天赋卡,atk_pierce,description,无视防御+30%,string
天赋卡,atk_pierce,cardType,Attack,TalentCardType
天赋卡,atk_pierce,rarity,Common,TalentCardRarity
天赋卡,atk_pierce,slotDiscount,0.00,float
天赋卡,atk_pierce,effectType,DefensePenetration,TalentEffectType
天赋卡,atk_pierce,effectValue,30,int
天赋卡,atk_pierce,effectValue2,0,int
天赋卡,atk_pierce,secondaryEffectType,None,TalentEffectType
天赋卡,atk_pierce,secondaryEffectValue,0,int
天赋卡,atk_pierce,secondaryEffectValue2,0,int
天赋卡,atk_pierce,effectTarget,Global,CardEffectTarget
天赋卡,atk_pierce,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_pierce,targetOperatorDataId,-1,int
天赋卡,atk_pierce,purchaseCooldownPenalty,0,int
天赋卡,atk_pierce,cardScope,PerRun,CardScope
天赋卡,atk_pierce,isGuardianRewindCard,false,bool
天赋卡,atk_pierce,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_pierce,triggerValue,0,int
天赋卡,atk_pierce,cardTier,Star,CardTier
天赋卡,atk_pierce,dreamCardOperatorKey,,string
天赋卡,atk_pierce,isCurse,false,bool
天赋卡,atk_pierce,curseEffectType,None,TalentEffectType
天赋卡,atk_pierce,curseEffectValue,0,int
天赋卡,atk_pierce,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_pierce,curseSecondaryEffectValue,0,int
天赋卡,atk_pierce,curseRemovable,true,bool
天赋卡,atk_power,cardId,atk_power,string
天赋卡,atk_power,displayName,力量强化,string
天赋卡,atk_power,description,攻击+20%,string
天赋卡,atk_power,cardType,Attack,TalentCardType
天赋卡,atk_power,rarity,Common,TalentCardRarity
天赋卡,atk_power,slotDiscount,0.00,float
天赋卡,atk_power,effectType,AttackPercent,TalentEffectType
天赋卡,atk_power,effectValue,20,int
天赋卡,atk_power,effectValue2,0,int
天赋卡,atk_power,secondaryEffectType,None,TalentEffectType
天赋卡,atk_power,secondaryEffectValue,0,int
天赋卡,atk_power,secondaryEffectValue2,0,int
天赋卡,atk_power,effectTarget,Global,CardEffectTarget
天赋卡,atk_power,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_power,targetOperatorDataId,-1,int
天赋卡,atk_power,purchaseCooldownPenalty,0,int
天赋卡,atk_power,cardScope,PerRun,CardScope
天赋卡,atk_power,isGuardianRewindCard,false,bool
天赋卡,atk_power,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_power,triggerValue,0,int
天赋卡,atk_power,cardTier,Star,CardTier
天赋卡,atk_power,dreamCardOperatorKey,,string
天赋卡,atk_power,isCurse,false,bool
天赋卡,atk_power,curseEffectType,None,TalentEffectType
天赋卡,atk_power,curseEffectValue,0,int
天赋卡,atk_power,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_power,curseSecondaryEffectValue,0,int
天赋卡,atk_power,curseRemovable,true,bool
天赋卡,atk_ramp,cardId,atk_ramp,string
天赋卡,atk_ramp,displayName,战意觉醒,string
天赋卡,atk_ramp,description,每杀随+2%攻击(上限+50%),string
天赋卡,atk_ramp,cardType,Attack,TalentCardType
天赋卡,atk_ramp,rarity,Common,TalentCardRarity
天赋卡,atk_ramp,slotDiscount,0.00,float
天赋卡,atk_ramp,effectType,KillStackAttack,TalentEffectType
天赋卡,atk_ramp,effectValue,2,int
天赋卡,atk_ramp,effectValue2,50,int
天赋卡,atk_ramp,secondaryEffectType,None,TalentEffectType
天赋卡,atk_ramp,secondaryEffectValue,0,int
天赋卡,atk_ramp,secondaryEffectValue2,0,int
天赋卡,atk_ramp,effectTarget,Global,CardEffectTarget
天赋卡,atk_ramp,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_ramp,targetOperatorDataId,-1,int
天赋卡,atk_ramp,purchaseCooldownPenalty,0,int
天赋卡,atk_ramp,cardScope,PerRun,CardScope
天赋卡,atk_ramp,isGuardianRewindCard,false,bool
天赋卡,atk_ramp,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_ramp,triggerValue,0,int
天赋卡,atk_ramp,cardTier,Star,CardTier
天赋卡,atk_ramp,dreamCardOperatorKey,,string
天赋卡,atk_ramp,isCurse,false,bool
天赋卡,atk_ramp,curseEffectType,None,TalentEffectType
天赋卡,atk_ramp,curseEffectValue,0,int
天赋卡,atk_ramp,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_ramp,curseSecondaryEffectValue,0,int
天赋卡,atk_ramp,curseRemovable,true,bool
天赋卡,atk_range,cardId,atk_range,string
天赋卡,atk_range,displayName,远程射击,string
天赋卡,atk_range,description,射程+15%,string
天赋卡,atk_range,cardType,Attack,TalentCardType
天赋卡,atk_range,rarity,Common,TalentCardRarity
天赋卡,atk_range,slotDiscount,0.00,float
天赋卡,atk_range,effectType,AttackRangeBonus,TalentEffectType
天赋卡,atk_range,effectValue,15,int
天赋卡,atk_range,effectValue2,0,int
天赋卡,atk_range,secondaryEffectType,None,TalentEffectType
天赋卡,atk_range,secondaryEffectValue,0,int
天赋卡,atk_range,secondaryEffectValue2,0,int
天赋卡,atk_range,effectTarget,Global,CardEffectTarget
天赋卡,atk_range,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_range,targetOperatorDataId,-1,int
天赋卡,atk_range,purchaseCooldownPenalty,0,int
天赋卡,atk_range,cardScope,PerRun,CardScope
天赋卡,atk_range,isGuardianRewindCard,false,bool
天赋卡,atk_range,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_range,triggerValue,0,int
天赋卡,atk_range,cardTier,Star,CardTier
天赋卡,atk_range,dreamCardOperatorKey,,string
天赋卡,atk_range,isCurse,false,bool
天赋卡,atk_range,curseEffectType,None,TalentEffectType
天赋卡,atk_range,curseEffectValue,0,int
天赋卡,atk_range,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_range,curseSecondaryEffectValue,0,int
天赋卡,atk_range,curseRemovable,true,bool
天赋卡,atk_sniper,cardId,atk_sniper,string
天赋卡,atk_sniper,displayName,雇击强化,string
天赋卡,atk_sniper,description,雇击攻速+30%,string
天赋卡,atk_sniper,cardType,Attack,TalentCardType
天赋卡,atk_sniper,rarity,Common,TalentCardRarity
天赋卡,atk_sniper,slotDiscount,0.00,float
天赋卡,atk_sniper,effectType,AttackSpeedPercent,TalentEffectType
天赋卡,atk_sniper,effectValue,30,int
天赋卡,atk_sniper,effectValue2,0,int
天赋卡,atk_sniper,secondaryEffectType,None,TalentEffectType
天赋卡,atk_sniper,secondaryEffectValue,0,int
天赋卡,atk_sniper,secondaryEffectValue2,0,int
天赋卡,atk_sniper,effectTarget,ByClass,CardEffectTarget
天赋卡,atk_sniper,targetOperatorType,Sniper,OperatorType
天赋卡,atk_sniper,targetOperatorDataId,-1,int
天赋卡,atk_sniper,purchaseCooldownPenalty,15,int
天赋卡,atk_sniper,cardScope,PerRun,CardScope
天赋卡,atk_sniper,isGuardianRewindCard,false,bool
天赋卡,atk_sniper,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_sniper,triggerValue,0,int
天赋卡,atk_sniper,cardTier,Star,CardTier
天赋卡,atk_sniper,dreamCardOperatorKey,,string
天赋卡,atk_sniper,isCurse,false,bool
天赋卡,atk_sniper,curseEffectType,None,TalentEffectType
天赋卡,atk_sniper,curseEffectValue,0,int
天赋卡,atk_sniper,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_sniper,curseSecondaryEffectValue,0,int
天赋卡,atk_sniper,curseRemovable,true,bool
天赋卡,atk_speed,cardId,atk_speed,string
天赋卡,atk_speed,displayName,疯风步,string
天赋卡,atk_speed,description,攻速+25%,string
天赋卡,atk_speed,cardType,Attack,TalentCardType
天赋卡,atk_speed,rarity,Common,TalentCardRarity
天赋卡,atk_speed,slotDiscount,0.00,float
天赋卡,atk_speed,effectType,AttackSpeedPercent,TalentEffectType
天赋卡,atk_speed,effectValue,25,int
天赋卡,atk_speed,effectValue2,0,int
天赋卡,atk_speed,secondaryEffectType,None,TalentEffectType
天赋卡,atk_speed,secondaryEffectValue,0,int
天赋卡,atk_speed,secondaryEffectValue2,0,int
天赋卡,atk_speed,effectTarget,Global,CardEffectTarget
天赋卡,atk_speed,targetOperatorType,Vanguard,OperatorType
天赋卡,atk_speed,targetOperatorDataId,-1,int
天赋卡,atk_speed,purchaseCooldownPenalty,0,int
天赋卡,atk_speed,cardScope,PerRun,CardScope
天赋卡,atk_speed,isGuardianRewindCard,false,bool
天赋卡,atk_speed,triggerType,None,GuardianRewindTriggerType
天赋卡,atk_speed,triggerValue,0,int
天赋卡,atk_speed,cardTier,Star,CardTier
天赋卡,atk_speed,dreamCardOperatorKey,,string
天赋卡,atk_speed,isCurse,false,bool
天赋卡,atk_speed,curseEffectType,None,TalentEffectType
天赋卡,atk_speed,curseEffectValue,0,int
天赋卡,atk_speed,curseSecondaryEffectType,None,TalentEffectType
天赋卡,atk_speed,curseSecondaryEffectValue,0,int
天赋卡,atk_speed,curseRemovable,true,bool
